,smiles,AR,predicted
0,[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C,17.3964594670351,43.34374
1,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,0.0013008576137469,9.847626
2,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],0.255778150884002,14.767318
3,[O-][N+](=O)C1=CC(=C(Cl)C(=C1Cl)[N+]([O-])=O)C(F)(F)F,40.0371828284694,38.803284
4,CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,192.904039721063,49.97234
5,CCC(=C(C1=CC=C(O)C=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,9.44416495700102,44.046112
6,CC(C1=CC=C(O)C=C1)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,18.4268041906462,42.374325
7,CN1CCOCC1,197.304423003711,48.021175
8,CC1CC2=C(CC1(C)C(C)=O)C(C)(C)CCC2,194.092165296273,49.54554
9,O=C(NC1=CC=CC=C1SSC1=C(NC(=O)C2=CC=CC=C2)C=CC=C1)C1=CC=CC=C1,188.409937751818,49.923355
10,N(C1=CC=CC=C1)C1=C2C=CC=CC2=CC=C1,68.0892821420292,39.04562
11,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,1.81596017817059,13.571633
12,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C[C@]35C)C#N)[C@@H]1CC[C@@H]2O,12.9663839483922,14.830664
13,CCCCCCCCCCCSCC(O)=O,175.074787362898,41.525867
14,ClC(Cl)=C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,183.982897860838,49.274178
15,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)CC[C@]12C,2.07206769713954,14.970297
16,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,35.8768637819763,15.976009
17,CCCC[Sn](Cl)(CCCC)CCCC,1.70517888010566,29.005413
18,CC(C)(OOC(C)(C)C1=CC=CC=C1)C1=CC=CC=C1,193.271926165168,49.97481
19,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Cl)=O,199.370604834423,49.99625
20,CC1=CC2=C3N(CC2)C(=O)[C@H](NC(=O)C2=CC=NC=C2)N=C(C2=CC=CC=C2)C3=C1,199.540222280548,49.934624
21,CCCCN(CCCC)C(=O)N(CCCC)CCCC,53.9202941974063,49.475483
