,smiles,AR,predicted
0,[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C,-0.654665552055364,0.14646423
1,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,-1.201597526569128,-0.91853374
2,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],-1.1935963481031933,-0.6390692
3,[O-][N+](=O)C1=CC(=C(Cl)C(=C1Cl)[N+]([O-])=O)C(F)(F)F,0.0571954783914908,0.03175223
4,CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,4.863577170864049,0.14646423
5,CCC(=C(C1=CC=C(O)C=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,-0.9046985776773468,0.14646423
6,CC(C1=CC=C(O)C=C1)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,-0.6222698443318802,0.14646423
7,CN1CCOCC1,5.001932351833342,0.14646423
8,CC1CC2=C(CC1(C)C(C)=O)C(C)(C)CCC2,4.900933764236413,0.0064071417
9,O=C(NC1=CC=CC=C1SSC1=C(NC(=O)C2=CC=CC=C2)C=CC=C1)C1=CC=CC=C1,4.722275322522517,0.14646423
10,N(C1=CC=CC=C1)C1=C2C=CC=CC2=CC=C1,0.9391989375902936,0.14646423
11,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,-1.1445416969818991,-0.890625
12,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C[C@]35C)C#N)[C@@H]1CC[C@@H]2O,-0.7939543050388614,-0.52796733
13,CCCCCCCCCCCSCC(O)=O,4.302996585466344,0.14646423
14,ClC(Cl)=C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,4.583082014591797,0.14646685
15,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)CC[C@]12C,-1.1364892615783126,-0.6763639
16,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,-0.0736116939830864,-0.72895503
17,CCCC[Sn](Cl)(CCCC)CCCC,-1.148024840507652,0.14646423
18,CC(C)(OOC(C)(C)C1=CC=CC=C1)C1=CC=CC=C1,4.875144116805101,0.14646423
19,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Cl)=O,5.066896456717314,0.14646423
20,CC1=CC2=C3N(CC2)C(=O)[C@H](NC(=O)C2=CC=NC=C2)N=C(C2=CC=CC=C2)C3=C1,5.072229504078599,0.14646423
21,CCCCN(CCCC)C(=O)N(CCCC)CCCC,0.4937029965980022,0.14646423
22,CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,5.05051842753231,0.14646423
23,OCCS(O)(=O)=O.OCCS(O)(=O)=O.NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1,3.830434640564158,-0.03011334
24,C[C@]12CC[C@H]3[C@@H](CCC4=CC5=C(C[C@]34C)C=NO5)[C@@H]1CC[C@@]2(O)C#C,-1.1785724916861926,-0.6257701
25,CCN(CC)CCNC1=C2C(=O)C3=C(SC2=C(CNC=O)C=C1)C=CC(OC)=C3,-1.1136520634877085,0.14646423
26,CC1(C)CCC(CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1,5.0060338007416645,-0.21104074
27,NC(=O)CN(CC(F)(F)F)C1=CC(=C(C=C1)C#N)C(F)(F)F,-0.4824954441592509,-0.44899
28,C[C@]12CC[C@H]3[C@@H](CCC4=CC(O)=CC=C34)[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1,-0.6635236571499196,-0.56923735
29,[Na+].COC1=CC2=C(SC(C(=O)NC3=NN=N[N-]3)=C2OC(C)C)C=C1,5.012721583846743,0.14646423
30,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=C(O)C(=O)CC[C@]12C,-1.1754673954836958,-0.7705859
31,ClC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,5.037554631178179,0.14646423
32,NC1=C(N)C=C(Cl)C=C1,1.725383880294678,0.14646423
33,[Na+].CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S([O-])(=O)=O,-0.4444347007862436,0.14646423
34,COC(=O)C1=C(O)C(C)=C(O)C=C1C,-0.7420345323029649,0.14646423
35,OC(=O)C1=C(O)C2=CC=CC=C2C(O)=C1,-0.2182744214459526,0.14646423
36,CCCN(CCOC1=C(Cl)C=C(Cl)C=C1Cl)C(=O)N1C=CN=C1,-0.7001152817476176,-0.18591863
37,[Cl-].CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,-1.0461647830408445,0.14646423
38,[Cl-].[Cl-].CCCC[Sn++]CCCC,-0.9021695305558736,0.14646423
39,CCOCN(C(=O)CCl)C1=C(CC)C=CC=C1C,-0.8267379359477574,0.14646423
40,N#CC1=CC=C(C=C1)C(N1C=NC=N1)C1=CC=C(C=C1)C#N,-1.0589720304448875,0.14646423
41,[Cl-].CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,-1.1486388782310066,0.14646423
42,CCOC(=O)C(O)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,-1.1036909935639092,0.14646423
43,OC1=CC2=CC=C(SSC3=CC4=CC=C(O)C=C4C=C3)C=C2C=C1,-0.2553961477309349,0.14646423
44,CSC(=O)C1=CC=CC2=C1SN=N2,-1.1933567711971824,0.14646423
45,COP(=S)(OC)SCN1N=NC2=C(C=CC=C2)C1=O,-0.8651627499649956,0.14646423
46,CNS(=O)(=O)C1=C(F)C=C(Cl)C(=C1)C(=O)N1CCC(CCN2C3CCC2CC(C3)N2C(C)=NC3=C2C=CC=C3)(CC1)C1=CC(F)=CC=C1,-1.0501617789822966,-0.6087701
47,CC(=O)O[C@]1(C(C)=O)C(=C)C[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,-1.198145715554548,-0.55616206
48,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)[C@@]21[H])C=C(O)C=C3,-0.922581448621317,-0.16422105
49,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,-1.200010865153074,-0.8264634
50,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,-0.9485399466819524,0.13541126
51,CCOC(=O)\C=C/C(=O)OCC,-1.0879073716826422,0.14646423
52,CCC(C)(C)C1CCC(O)CC1,-0.3156169517611233,0.14646423
53,CC(C)(O)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,-1.20062804241348,-0.017210364
54,Cl.Cl.CC1=C(N)C=CC(=C1)C1=CC(C)=C(N)C=C1,-1.189167215463242,0.14646423
55,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,-1.1977088627345065,-0.91853374
56,OC(=O)C1=CC(=CC=C1)N(CC1=CN=CC=C1)C1=CC=C(OC(F)F)C(OC(F)F)=C1,-1.1703254479600134,0.14646423
57,[Na+].[Na+].CC1=CC=C(C=C1)S(=O)(=O)OC1=CC=C(C=C1)N=NC1=C(C)C=C(C=C1)C1=CC=C(N=NC2=C(O)C=CC3=CC(=CC(=C23)S([O-])(=O)=O)S([O-])(=O)=O)C(C)=C1,-1.144382136347727,-0.09219825
58,[Ca++].CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1.CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1,-0.972689018413037,0.0899024
